Date,Actual
1/1/00,6
1/2/00,28
1/3/00,31
1/4/00,52
1/5/00,53
1/6/00,10
1/7/00,22
1/8/00,42
1/9/00,61
1/10/00,69
1/11/00,1
1/12/00,54
1/13/00,60
1/14/00,68
1/15/00,69
1/16/00,6
1/17/00,23
1/18/00,38
1/19/00,42
1/20/00,58
1/21/00,1
1/22/00,14
1/23/00,21
1/24/00,22
1/25/00,28
1/26/00,3
1/27/00,26
1/28/00,55
1/29/00,58
1/30/00,70
1/31/00,3
2/1/00,7
2/2/00,22
2/3/00,27
2/4/00,50
2/5/00,16
2/6/00,36
2/7/00,54
2/8/00,61
2/9/00,64
2/10/00,10
2/11/00,17
2/12/00,47
2/13/00,51
2/14/00,61
2/15/00,16
2/16/00,22
2/17/00,40
2/18/00,41
2/19/00,59
2/20/00,14
2/21/00,15
2/22/00,37
2/23/00,42
2/24/00,67
2/25/00,6
2/26/00,37
2/27/00,46
2/28/00,60
2/29/00,70
3/1/00,8
3/2/00,23
3/3/00,24
3/4/00,25
3/5/00,27
3/6/00,4
3/7/00,12
3/8/00,36
3/9/00,44
3/10/00,57
3/11/00,28
3/12/00,37
3/13/00,39
3/14/00,42
3/15/00,58
3/16/00,1
3/17/00,20
3/18/00,30
3/19/00,33
3/20/00,42
3/21/00,10
3/22/00,12
3/23/00,20
3/24/00,38
3/25/00,41
3/26/00,4
3/27/00,10
3/28/00,18
3/29/00,28
3/30/00,62
3/31/00,1
4/1/00,42
4/2/00,47
4/3/00,64
4/4/00,70
4/5/00,28
4/6/00,30
4/7/00,39
4/8/00,59
4/9/00,70
4/10/00,16
4/11/00,29
4/12/00,31
4/13/00,65
4/14/00,67
4/15/00,17
4/16/00,18
4/17/00,33
4/18/00,46
4/19/00,60
4/20/00,3
4/21/00,11
4/22/00,23
4/23/00,29
4/24/00,59
4/25/00,3
4/26/00,17
4/27/00,23
4/28/00,49
4/29/00,66
4/30/00,2
5/1/00,6
5/2/00,30
5/3/00,31
5/4/00,55
5/5/00,10
5/6/00,16
5/7/00,27
5/8/00,38
5/9/00,43
5/10/00,29
5/11/00,41
5/12/00,42
5/13/00,49
5/14/00,57
5/15/00,1
5/16/00,4
5/17/00,14
5/18/00,17
5/19/00,40
5/20/00,14
5/21/00,17
5/22/00,25
5/23/00,48
5/24/00,58
5/25/00,28
5/26/00,34
5/27/00,41
5/28/00,46
5/29/00,47
5/30/00,5
5/31/00,12
6/1/00,15
6/2/00,46
6/3/00,49
6/4/00,14
6/5/00,38
6/6/00,48
6/7/00,53
6/8/00,58
6/9/00,17
6/10/00,19
6/11/00,23
6/12/00,24
6/13/00,43
6/14/00,7
6/15/00,11
6/16/00,13
6/17/00,19
6/18/00,58
6/19/00,10
6/20/00,17
6/21/00,21
6/22/00,38
6/23/00,43
6/24/00,24
6/25/00,28
6/26/00,42
6/27/00,60
6/28/00,64
6/29/00,1
6/30/00,4
7/1/00,26
7/2/00,35
7/3/00,39
7/4/00,7
7/5/00,17
7/6/00,18
7/7/00,46
7/8/00,66
7/9/00,6
7/10/00,30
7/11/00,58
7/12/00,60
7/13/00,61
7/14/00,1
7/15/00,13
7/16/00,26
7/17/00,33
7/18/00,52
7/19/00,14
7/20/00,38
7/21/00,51
